ID,Parent Company,Acquired Company,Business,Acquisition Date
218,Amazon,Shelfari,Unknown,2008-08-01
219,Amazon,Reflexive Entertainment,Unknown,2008-10-01
220,Amazon,Box Office Mojo,Unknown,2008-12-01
221,Amazon,Lexcycle,Unknown,2009-04-01
222,Amazon,SnapTell,Unknown,2009-06-01
223,Amazon,Zappos,Unknown,2009-11-01
224,Amazon,Touchco,Unknown,2010-02-01
225,Amazon,Woot,Unknown,2010-07-01
226,Amazon,Amie Street,Unknown,2010-09-01
227,Amazon,BuyVIP,Unknown,2010-10-01
228,Amazon,Quidsi,Unknown,2010-11-01
229,Amazon,Toby Press,Unknown,2010-11-01
230,Amazon,LoveFilm,Unknown,2011-01-01
231,Amazon,The Book Depository,Unknown,2011-07-01
232,Amazon,Pushbutton,Unknown,2011-07-01
233,Amazon,Yap,Unknown,2011-09-01
234,Amazon,Double Helix Games,Unknown,2011-09-01
235,Amazon,Teachstreet,Unknown,2012-02-01
236,Amazon,Kiva Systems,Unknown,2012-03-01
237,Amazon,Evi,Unknown,2012-04-01
238,Amazon,Avalon Books,Unknown,2012-04-01
239,Amazon,UpNext,Unknown,2012-07-01
240,Amazon,IVONA Software,Unknown,2013-01-01
241,Amazon,Goodreads,Unknown,2013-03-01
242,Amazon,Liquavista,Unknown,2013-05-01
243,Amazon,"TenMarks Education, Inc.",Unknown,2013-10-01
244,Amazon,ComiXology,Unknown,2014-04-01
245,Amazon,Amiato,Unknown,2014-05-01
246,Amazon,Twitch Interactive,Unknown,2014-08-01
247,Amazon,Rooftop Media,Unknown,2014-08-01
248,Amazon,GoodGame,Unknown,2014-12-01
249,Amazon,Annapurna Labs,Unknown,2015-01-01
250,Amazon,2lemetry,Unknown,2015-03-01
251,Amazon,Shoefitr,Unknown,2015-04-01
252,Amazon,ClusterK,Unknown,2015-04-01
253,Amazon,AppThwack,Unknown,2015-07-01
254,Amazon,Elemental Technologies,Unknown,2015-09-01
255,Amazon,Safaba Translation Systems,Unknown,2015-09-01
256,Amazon,Biba Systems,Unknown,2015-09-01
257,Amazon,Orbeus,Unknown,2015-12-01
258,Amazon,Colis Priv̩,Unknown,2016-01-01
259,Amazon,NICE,Unknown,2016-02-01
260,Amazon,Emvantage Payments,Unknown,2016-02-01
261,Amazon,Cloud9 IDE,Unknown,2016-07-01
262,Amazon,"Curse, Inc.",Unknown,2016-08-01
263,Amazon,Westland,Unknown,2016-10-01
264,Amazon,Partpic,Unknown,2016-11-01
265,Amazon,harvest.ai,Unknown,2017-01-01
